ID,Long,Lat,Country,Island,pop,geometry
38672,-78.113969,80.300222,Canada,Ellesmere Island,107.0,POINT (-78.113969 80.300222)
38688,-64.678317,32.369459,Bermuda,Saint David's Island,1221.0,POINT (-64.678317 32.369459)
38722,10.077335,42.585191,Italy,Isola Pianosa,305.0,POINT (10.077335 42.585191)
38776,16.872785,42.752929,Croatia,Otok Lastovo,770.0,POINT (16.872785 42.752929)
38794,17.524436,42.748798,Croatia,Otok Mljet,1021.0,POINT (17.524436 42.748798)
38815,10.287933,42.77863,Italy,Isola d' Elba,28440.0,POINT (10.287933 42.77863)
38871,16.898373,42.941447,Croatia,Otok Korcula,13231.0,POINT (16.898373 42.941447)
38872,131.730725,42.964242,Russia,Ostrov Popova,1590.0,POINT (131.730725 42.964242)
38877,9.105559,42.151732,France,Corse,293765.0,POINT (9.105559 42.151732)
38895,6.467756,43.030029,France,Ile du Levant,829.0,POINT (6.467756 43.030029)
38901,9.819228,43.037837,Italy,Isola di Capraia,357.0,POINT (9.819228 43.037837)
38903,16.153422,43.045853,Croatia,Otok Vis,2401.0,POINT (16.153422 43.045853)
38930,16.728328,43.156723,Croatia,Otok Hvar,9890.0,POINT (16.728328 43.156723)
38948,16.644492,43.320043,Croatia,Otok Brac,13010.0,POINT (16.644492 43.320043)
38958,16.296631,43.377478,Croatia,Otok Solta,1951.0,POINT (16.296631 43.377478)
38992,146.136127,43.50796,Russia,Shibotsu-jima,112.0,POINT (146.136127 43.50796)
39017,146.323889,43.630924,Russia,Taraku-jima,119.0,POINT (146.323889 43.630924)
39034,15.66127,43.651767,Croatia,Otok Zirje,736.0,POINT (15.66127 43.651767)
39175,15.307815,43.817962,Croatia,Otok Kornat,188.0,POINT (15.307815 43.817962)
39178,146.738907,43.800861,Russia,Shikotan-to,1709.0,POINT (146.738907 43.800861)
39185,15.310674,43.864289,Croatia,Otok Zut,115.0,POINT (15.310674 43.864289)
39241,15.111755,44.042945,Croatia,Otok Iz,833.0,POINT (15.111755 44.042945)
39257,15.046475,44.00972,Croatia,Dugi Otok,1494.0,POINT (15.046475 44.00972)
39264,14.989251,44.159807,Croatia,Otok Sestrunj,217.0,POINT (14.989251 44.159807)
39274,14.845505,44.22772,Croatia,Otok Molat,1168.0,POINT (14.845505 44.22772)
39277,14.764514,44.273883,Croatia,Otok Ist,308.0,POINT (14.764514 44.273883)
39298,14.693441,44.384057,Croatia,Otok Silba,983.0,POINT (14.693441 44.384057)
39301,14.787724,44.378533,Croatia,Otok Olib,664.0,POINT (14.787724 44.378533)
39315,145.94709,44.173277,Russia,Kunashiri-to,6688.0,POINT (145.94709 44.173277)
39327,14.260638,44.647495,Croatia,Otok Unije,148.0,POINT (14.260638 44.647495)
39421,14.40383,44.82802,Croatia,Otok Cres,8849.0,POINT (14.40383 44.82802)
39435,14.614522,45.070733,Croatia,Otok Krk,20397.0,POINT (14.614522 45.070733)
39439,141.229708,45.177708,Japan,Rishiri-to,3791.0,POINT (141.229708 45.177708)
39504,141.025188,45.375472,Japan,Rebun-to,2146.0,POINT (141.025188 45.375472)
39547,147.877231,45.07598,Russia,Ostrov Shlem,5083.0,POINT (147.877231 45.07598)
39573,-1.29237,45.934688,France,Ile d' Oleron,44045.0,POINT (-1.29237 45.934688)
39587,149.949229,45.905675,Russia,Ostrov Kuvshin,337.0,POINT (149.949229 45.905675)
39594,-1.412071,46.197942,France,Ile de Re,33560.0,POINT (-1.412071 46.197942)
39614,-2.347839,46.709762,France,Ile d' Yeu,4711.0,POINT (-2.347839 46.709762)
39622,151.995743,46.94803,Russia,Ostrov Simushir,120.0,POINT (151.995743 46.94803)
39636,-3.177663,47.327077,France,Belle-Ile-en-Mer,8163.0,POINT (-3.177663 47.327077)
39741,-5.086316,48.45998,France,Ile d' Ouessant,4864.0,POINT (-5.086316 48.45998)
39921,-2.132722,49.213826,Jersey,Jersey,98100.0,POINT (-2.132722 49.213826)
39947,-2.579465,49.456382,Guernsey,Guernsey,63601.0,POINT (-2.579465 49.456382)
40027,-1.298564,50.674952,United Kingdom,Isle of Wight,135132.0,POINT (-1.298564 50.674952)
40028,155.722645,50.372947,Russia,Ostrov Paramushir,1633.0,POINT (155.722645 50.372947)
40034,-0.973534,50.802518,United Kingdom,Hayling Island,13398.0,POINT (-0.973534 50.802518)
40036,156.355594,50.739688,Russia,Ostrov Shumshu,365.0,POINT (156.355594 50.739688)
40071,0.834448,51.396932,United Kingdom,Isle of Sheppey,41861.0,POINT (0.834448 51.396932)
40115,-9.859905,51.63016,Ireland,Bear Island,429.0,POINT (-9.859905 51.63016)
40200,-10.357863,51.907989,Ireland,Valencia Island,1113.0,POINT (-10.357863 51.907989)
40303,174.107297,52.721023,United States,Shemya Island,226.0,POINT (174.107297 52.721023)
40336,-9.590516,53.083374,Ireland,Inishmaan,398.0,POINT (-9.590516 53.083374)
40344,-9.72206,53.124995,Ireland,Inishmore,998.0,POINT (-9.72206 53.124995)
40346,4.809017,53.081853,Netherlands,Texel,13914.0,POINT (4.809017 53.081853)
40388,4.963325,53.256287,Netherlands,Vlieland,989.0,POINT (4.963325 53.256287)
40399,-4.625796,53.285552,United Kingdom,Holy Island,67385.0,POINT (-4.625796 53.285552)
40443,-4.361328,53.28763,United Kingdom,Anglesey,67385.0,POINT (-4.361328 53.28763)
40446,5.334254,53.399693,Netherlands,Terschelling,4479.0,POINT (5.334254 53.399693)
40450,5.753518,53.451107,Netherlands,Ameland,3563.0,POINT (5.753518 53.451107)
40490,6.716373,53.593063,Germany,Borkum,5062.0,POINT (6.716373 53.593063)
40498,-10.213908,53.621388,Ireland,Inishbofin,272.0,POINT (-10.213908 53.621388)
40511,6.963422,53.674053,Germany,Juist,945.0,POINT (6.963422 53.674053)
40539,-9.9963,53.803992,Ireland,Clare Island,265.0,POINT (-9.9963 53.803992)
40700,-4.537848,54.228407,Isle of Man,Isle of Man,87816.0,POINT (-4.537848 54.228407)
40702,142.702744,50.334829,Russia,Ostrov Sakhalin,451833.0,POINT (142.702744 50.334829)
40755,8.648745,54.521045,Germany,Pellworm,2387.0,POINT (8.648745 54.521045)
40759,13.102736,54.547791,Germany,Fahrinsel,1277.0,POINT (13.102736 54.547791)
40776,8.597272,54.637761,Germany,Nordmarsch-Langeness,69.0,POINT (8.597272 54.637761)
40783,13.397451,54.436568,Germany,Rugen,60018.0,POINT (13.397451 54.436568)
40793,8.34262,54.652338,Germany,Amrum,2344.0,POINT (8.34262 54.652338)
40801,8.498995,54.717781,Germany,Fohr,9194.0,POINT (8.498995 54.717781)
40860,12.040944,54.927349,Denmark,Bogo,1941.0,POINT (12.040944 54.927349)
40861,11.422427,54.782961,Denmark,Lolland,54970.0,POINT (11.422427 54.782961)
40869,11.934733,54.811942,Denmark,Falster,43168.0,POINT (11.934733 54.811942)
40872,11.416373,54.946941,Denmark,Fejo,919.0,POINT (11.416373 54.946941)
